"id","gender","age","height","weight"
51,"M",23,167,64
55,"M",26,170,65
110,"M",20,175,66
126,"F",20,164,58
251,"M",27,176,56
273,"F",17,147,50
402,"M",30,184,85
412,"M",24,192,68
430,"M",20,180,74
455,"M",24,161,62
463,"F",17,166,60
465,"M",30,197,92
511,"M",33,178,61
532,"M",25,176,82
533,"F",28,182,95
535,"M",26,181,80
551,"F",19,163,53
554,"M",31,186,115
574,"F",38,164,52
578,"M",21,180,70
593,"M",32,168,67
611,"M",23,170,67
613,"F",22,180,70
650,"M",18,182,68
668,"F",23,163,54
679,"M",23,183,87
720,"M",20,NULL,NULL
804,"M",27,180,79
811,"F",24,173,65
823,"M",29,178,64
846,"F",31,193,120
900,"F",23,166,63
915,"M",22,168,58
931,"F",30,NULL,NULL
961,"M",22,188,80
1017,"M",27,198,100
1052,"M",23,191,86
1053,"M",20,177,80
1081,"F",18,168,58
1087,"F",17,162,60
1162,"M",21,193,75
1173,"M",24,202,90
1200,"F",22,166,52
1234,"F",38,165,50
1242,"F",23,173,64
1265,"F",20,165,66
1320,"F",25,170,63
1405,"M",25,182,56
1421,"M",21,NULL,NULL
1439,"F",28,165,58
1462,"F",24,160,64
1464,"F",14,168,54
1477,"F",33,177,60
1488,"M",27,180,87
1526,"M",26,167,65
1527,"F",37,158,50
1561,"M",20,180,62
1575,"F",22,166,60
1599,"F",23,171,51
1600,"M",28,176,60
1648,"M",28,180,72
1682,"F",22,163,61
1696,"F",28,160,49
1697,"M",33,175,58
1721,"M",19,188,80
1746,"F",19,NULL,NULL
1749,"F",21,159,50
1780,"F",18,182,NULL
1787,"M",25,165,49
1807,"F",22,170,57
1832,"F",18,162,53
1856,"M",31,192,86
1943,"F",16,160,55
1946,"M",28,173,67
1993,"F",21,160,45
2008,"M",17,190,86
2021,"F",17,167,60
2090,"M",40,163,60
2119,"M",20,175,62
2135,"F",23,NULL,NULL
2169,"M",23,172,61
2197,"M",27,NULL,NULL
2236,"F",32,179,58
2314,"M",24,187,76
2408,"F",22,169,47
2414,"F",31,169,69
2467,"M",30,180,81
2537,"F",19,171,52
2551,"M",20,185,92
2574,"F",30,178,65
2604,"F",25,180,60
2663,"M",22,173,75
2683,"M",32,185,84
2688,"M",26,NULL,NULL
2695,"F",27,170,65
2719,"F",28,160,44
2726,"M",37,186,130
2775,"M",26,183,76
2779,"F",23,180,60
2784,"F",14,175,60
2838,"M",21,185,84
2861,"M",20,178,NULL
2900,"M",21,182,77
2943,"M",31,165,55
2952,"F",24,165,53
2969,"M",19,186,73
2976,"M",31,177,75
3001,"M",23,173,73
3048,"F",21,165,60
3070,"F",38,180,64
3081,"F",16,158,50
3139,"M",25,191,78
3221,"M",22,183,64
3267,"F",19,155,59
3280,"M",22,165,58
3284,"M",24,NULL,NULL
3310,"M",19,175,64
3316,"M",24,193,70
