"sport","event","date","athlete_id","country_id","bronze","gold","silver"
"Gymnastics","Gymnastics Men's Individual All-Around","2016-01-01",51,173,0,0,0
"Gymnastics","Gymnastics Men's Floor Exercise","2016-01-01",51,173,0,0,0
"Gymnastics","Gymnastics Men's Parallel Bars","2016-01-01",51,173,0,0,0
"Gymnastics","Gymnastics Men's Horizontal Bar","2016-01-01",51,173,0,0,0
"Gymnastics","Gymnastics Men's Rings","2016-01-01",51,173,0,0,0
"Gymnastics","Gymnastics Men's Pommelled Horse","2016-01-01",51,173,0,0,0
"Track and Field","Men's 5,000 metres","2016-01-01",55,173,0,0,0
"Track and Field","Men's 400 metres","2016-01-01",110,15,0,0,0
"Track and Field","Men's 5,000 metres","2016-01-01",251,19,0,0,0
"Track and Field","Men's 10,000 metres","2016-01-01",251,19,0,0,0
"Track and Field","Women's 200 metres","2016-01-01",273,28,0,0,0
"Track and Field","Men's Decathlon","2016-01-01",402,71,0,0,0
"Track and Field","Men's Marathon","2016-01-01",412,63,0,0,0
"Swimming","Swimming Men's 100 metres Freestyle","2016-01-01",430,174,0,0,0
"Gymnastics","Gymnastics Men's Team All-Around","2016-01-01",455,152,0,0,1
"Gymnastics","Gymnastics Men's Floor Exercise","2016-01-01",455,152,0,0,0
"Gymnastics","Gymnastics Men's Horse Vault","2016-01-01",455,152,0,0,1
"Gymnastics","Gymnastics Men's Rings","2016-01-01",455,152,1,0,0
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",465,11,0,0,0
"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay","2016-01-01",465,11,1,0,0
"Track and Field","Men's Marathon","2016-01-01",511,179,0,0,0
"Track and Field","Women's Shot Put","2016-01-01",533,18,0,0,0
"Track and Field","Women's 400 metres","2016-01-01",551,80,0,0,0
"Track and Field","Men's Shot Put","2016-01-01",554,70,0,0,0
"Track and Field","Women's Marathon","2016-01-01",574,42,0,0,0
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",578,54,0,0,0
"Track and Field","Men's Marathon","2016-01-01",593,95,0,0,0
"Track and Field","Men's 100 metres","2016-01-01",611,140,0,0,0
"Track and Field","Women's 100 metres","2016-01-01",613,160,0,0,0
"Swimming","Swimming Men's 100 metres Backstroke","2016-01-01",650,34,0,0,0
"Swimming","Swimming Men's 4 x 100 metres Medley Relay","2016-01-01",650,34,0,0,0
"Track and Field","Women's 4 x 100 metres Relay","2016-01-01",668,72,0,0,0
"Swimming","Swimming Men's 200 metres Freestyle","2016-01-01",720,59,0,0,0
"Swimming","Swimming Men's 400 metres Freestyle","2016-01-01",720,59,0,0,0
"Swimming","Swimming Men's 1,500 metres Freestyle","2016-01-01",720,59,0,0,0
"Track and Field","Men's 100 metres","2016-01-01",804,154,0,0,0
"Track and Field","Men's 200 metres","2016-01-01",804,154,0,0,0
"Track and Field","Men's 4 x 100 metres Relay","2016-01-01",804,154,0,0,0
"Swimming","Swimming Women's 200 metres Butterfly","2016-01-01",811,195,0,0,0
