"created_time","engaged_fans","impressions","non_viral_impressions","post_activity","post_clicks","post_reaction_anger","post_reaction_haha","post_reaction_like","post_reaction_love","post_reaction_sorry","post_reaction_wow","reach"
"2018-01-10 05:15:00",3201,171185,58411,5824,2990,3,1,3805,116,2,0,123160
"2018-01-10 11:30:00",1068,58241,32603,1461,904,0,1,952,46,3,1,41653
"2018-02-10 05:15:00",3887,228501,70256,7242,6107,0,5,4718,148,0,1,163863
"2018-02-10 05:30:00",1711,93475,40683,2600,1707,0,3,1580,50,0,2,65171
"2018-02-10 16:00:00",6295,404263,116517,13302,9427,0,14,8763,364,8,3,274118
"2018-02-10 19:00:00",575,32199,26513,747,367,0,0,566,9,0,1,22525
"2018-02-10 21:01:00",2623,134618,51677,5186,2821,0,2,3898,95,2,4,95932
"2018-02-10 23:00:00",1539,83999,45968,2272,1519,0,0,1637,46,0,2,59933
"2018-03-10 05:30:00",1220,66642,25338,2310,1271,0,1,1447,57,0,0,46413
"2018-03-10 05:45:00",7238,448532,107619,19242,11601,1,8,13163,500,6,6,311989
"2018-03-10 06:00:00",1307,74929,34893,2407,1286,0,3,1717,41,0,0,52977
"2018-03-10 06:30:00",4017,262590,70784,10098,6247,0,4,6981,270,12,0,186501
"2018-03-10 07:00:00",10134,936427,126637,32740,23100,6,94,22917,688,8,44,623764
"2018-03-10 07:30:00",767,42569,22501,1073,679,0,7,663,16,0,0,30425
"2018-03-10 08:00:00",2379,143018,52829,4385,2611,4,36,2747,90,5,10,101071
"2018-03-10 08:30:00",5233,321804,76905,13182,7268,1,3,8705,395,4,6,217824
"2018-03-10 09:00:00",4299,277000,82834,8312,7106,2,11,5406,186,7,9,196614
"2018-03-10 09:30:00",3340,208158,65842,6633,4387,2,44,4484,161,2,7,142736
"2018-03-10 10:00:00",573,30963,20665,770,478,0,0,500,20,0,1,21355
"2018-03-10 11:00:00",11205,980700,141261,35430,27406,26,128,23290,768,134,73,637924
"2018-03-10 12:00:00",1499,76631,41596,1997,1502,1,1,1443,22,0,2,54265
"2018-03-10 13:00:00",809,53022,31360,1422,851,0,3,1027,24,4,3,37444
"2018-03-10 13:00:00",7429,506277,112982,17930,12640,4,31,12593,544,11,24,341321
"2018-03-10 14:00:00",1053,51683,31197,1686,1033,0,0,1187,43,0,0,35889
"2018-03-10 14:30:00",11818,761347,150604,31540,17729,12,111,22708,844,23,34,501455
"2018-03-10 15:00:00",835,47517,30110,1072,652,0,0,712,24,5,1,32036
"2018-03-10 16:00:00",931,53654,37427,1637,1035,0,1,1223,45,3,1,38008
"2018-03-10 16:30:00",5884,392485,93621,12781,8170,4,15,8297,254,10,11,270759
"2018-03-10 17:00:00",7167,538295,118405,18238,13716,4,73,13128,351,10,17,368114
"2018-03-10 17:30:00",4003,201248,76018,7020,4587,2,14,4865,230,6,6,139845
"2018-03-10 18:00:00",716,38373,26916,842,736,0,0,547,30,3,1,27025
"2018-03-10 19:00:00",2249,129145,43520,4488,2486,1,68,2969,152,0,4,90412
"2018-03-10 19:30:00",3284,206525,65292,5812,5737,1,4,3903,153,2,2,141238
"2018-03-10 20:30:00",4859,242162,79111,7949,6720,0,6,5603,217,2,8,165986
"2018-03-10 21:00:00",687,30863,20491,917,477,1,0,621,35,1,2,20499
"2018-03-10 22:00:00",835,50613,28790,1215,732,0,0,843,19,0,1,35568
"2018-03-10 22:30:00",1138,63445,32468,1664,1224,0,1,1113,37,1,1,42820
"2018-03-10 23:00:00",1604,86257,36544,2911,1885,0,0,1946,79,1,0,58461
"2018-04-10 05:00:00",3192,152677,52725,6144,2951,0,4,3954,187,1,2,109741
"2018-04-10 05:15:00",4588,265203,77399,11853,6310,0,7,8584,255,2,14,186172
"2018-04-10 05:30:00",3309,169565,46716,7267,3226,0,2,5169,208,2,1,116750
"2018-04-10 05:45:00",3982,213248,77446,7436,4263,1,3,5435,139,0,2,148370
"2018-04-10 06:00:00",1198,55638,24369,1898,993,0,22,1249,46,0,1,39483
"2018-04-10 06:30:00",8044,425422,87498,20452,10160,1,7,14892,614,7,8,287214
"2018-04-10 07:00:00",1003,49837,23362,1623,1077,0,0,1163,30,0,0,34540
"2018-04-10 07:30:00",4714,281088,92689,8913,5487,2,157,5921,241,3,7,192493
"2018-04-10 08:00:00",2542,137672,49629,5057,2935,0,1,3488,107,0,1,92896
"2018-04-10 09:00:00",6827,419452,103303,15707,9470,0,33,10811,290,126,22,283025
"2018-04-10 10:00:00",7405,443847,100054,15967,11167,4,12,10979,408,8,20,307391
"2018-04-10 11:00:00",1357,70693,43228,1550,1395,1,13,1018,41,2,4,49919
"2018-04-10 12:00:00",3010,175785,48237,7338,3842,0,1,5395,144,0,0,120633
"2018-04-10 13:00:00",2867,158321,63765,4863,2762,0,4,3246,133,0,2,110319
"2018-04-10 14:00:00",2172,106419,40181,4170,1878,0,3,2932,89,0,2,74222
"2018-04-10 14:30:00",5612,377134,97670,10762,7472,6,29,6929,202,17,20,255859
"2018-04-10 15:00:00",2946,133522,61922,4023,2884,1,3,2686,101,1,3,94956
"2018-04-10 16:00:00",1145,61259,32647,1777,886,0,2,1216,37,0,0,40984
"2018-04-10 17:00:00",2038,138953,46782,4094,2382,0,0,2656,113,0,0,95929
"2018-04-10 17:30:00",1083,47186,33377,898,1135,0,0,586,28,5,0,32934
"2018-04-10 18:00:00",3299,174052,78743,5175,4121,2,12,3636,144,13,5,120786
"2018-04-10 19:00:00",5873,343372,98248,9746,8204,0,52,6145,286,2,14,236403
"2018-04-10 20:00:00",1659,128222,23543,5568,3572,0,3,4600,114,4,4,94095
"2018-04-10 20:30:00",953,57138,37553,1096,824,0,1,717,20,0,3,38356
"2018-04-10 21:00:00",866,43932,33116,889,642,0,1,622,26,3,2,29842
"2018-04-10 21:30:00",1897,84533,43913,2476,1501,0,2,1745,39,0,0,57180
"2018-04-10 22:30:00",1943,97619,46667,2948,1660,0,1,1905,71,0,0,67613
"2018-04-10 23:00:00",2184,112455,49697,3875,2005,0,1,2733,105,0,1,78188
"2018-05-10 05:00:00",5886,299779,73584,13827,5974,0,8,9828,333,0,4,204213
"2018-05-10 05:15:00",3412,179976,66504,6132,3426,0,8,4009,188,1,1,126702
"2018-05-10 05:30:00",2434,127291,46200,4280,2341,0,1,2876,85,2,1,86663
"2018-05-10 05:45:00",6433,389244,86399,13379,8096,1,4,9126,429,0,2,276682
"2018-05-10 06:00:00",1499,64818,39183,2094,1041,0,2,1404,58,47,1,47031
"2018-05-10 07:00:00",3397,185235,67244,7035,3203,0,3,4687,180,0,1,126257
"2018-05-10 07:30:00",1578,74711,38897,1864,1652,0,0,1231,47,1,3,53161
"2018-05-10 08:00:00",1008,62726,26717,1765,1162,0,1,1185,51,0,3,44016
"2018-05-10 10:00:00",6869,451973,104722,15090,9818,3,29,10057,375,9,8,301897
"2018-05-10 11:00:00",4551,313509,72900,13062,9760,0,4,8461,201,2,3,209074
"2018-05-10 12:00:00",21418,1839067,182876,68819,49982,31,1725,46773,1729,99,133,1187774
"2018-05-10 13:00:00",1107,61977,36625,1298,1027,0,0,805,20,8,1,43892
"2018-05-10 14:00:00",2815,138007,52206,5364,2388,1,4,3873,106,1,3,98586
"2018-05-10 15:00:00",3032,165914,48304,6650,3651,1,2,4462,206,8,4,115547
"2018-05-10 17:00:00",929,57521,32859,1453,874,0,0,1011,34,2,3,40975
"2018-05-10 17:30:00",6756,438190,108059,14653,8714,14,32,9796,258,54,24,297829
"2018-05-10 18:00:00",867,39302,22940,1190,593,0,0,841,19,0,1,27047
"2018-05-10 18:11:00",1074,6867,6630,296,967,0,0,260,13,0,0,5598
